RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,Street,fromSt,toSt,Direction
26799,Bronx,2017,6,1,21,15,617,140178,POINT (1017915.6954829656 269280.3020157835),MAJOR DEEGAN EXPRESSWAY,Connector,Dead end,SB\
18476,Brooklyn,2014,11,2,14,0,62,9001894,POINT (1003444.7922473001 183592.45774998233),ST JOHNS PLACE,Dead end,Utica Avenue,WB\
8258,Brooklyn,2012,6,18,7,30,73,20458,POINT (990025.9 160836.2),AV P,W 6 ST,W 5 ST,WB\
26999,Manhattan,2017,11,12,14,15,130,36807,POINT (997649.4653946896 219725.22819338748),YORK AVENUE,East 76 Street,East 77 Street,NB\
18035,Staten Island,2015,3,14,4,45,8,10164,POINT (948655.2280676151 171492.42982782752),RICHMOND TERRACE,Rector Street,Jewett Avenue,WB\
9872,Manhattan,2011,4,14,16,0,237,36264,POINT (993285.1 216855.1),59TH ST APPROACH TO 3RD AVE,LEXINGTON AV,3 AV,EB\
1662,Bronx,2010,6,19,5,45,133,184532,POINT (1003250.5 235794.3),S/B EXTERIOR ST (S LEG) @ E 138 ST,E 138 ST/EXTERIOR ST/MADISON AV BRDG PED & BIKE P*,MADISON AV BR APPR/EXTERIOR ST,SB\
26512,Bronx,2017,9,28,12,15,59,95624,POINT (1030966.8982226682 264091.9405610336),DYRE AVENUE,Lustre Street,Dead end,SB\
10744,Queens,2011,5,26,0,30,28,145369,POINT (1021462.5 216670),Astoria Blvd EB Between,31st Ave and 104th St,104 ST,EB\
16856,Manhattan,2014,3,28,20,15,458,36142,POINT (992919.2 215671.3),3 AV,E 54 ST,E 55 ST,NB\
19492,Queens,2015,4,10,5,30,31,196367,POINT (1022884.1843230278 185006.51898252606),SUTTER AVENUE,Dead End,Dead end,WB\
2748,Brooklyn,2010,4,12,18,0,86,66420,POINT (1005624.9 200301.9),W/B GRAND ST BR @ GARDNER AVE,GRAND ST,BOROUGH BOUNDARY,WB\
3211,Brooklyn,2009,3,11,2,0,0,127310,POINT (996147.7 156632),E/B AVE V @ E 4 ST,E 14 ST,E 13 ST,EB\
7865,Brooklyn,2012,9,15,5,45,38,30849,POINT (996298.8 193955.6),FLUSHING AV,BEDFORD AV,SPENCER ST,WB\
18701,Bronx,2014,11,22,14,45,147,78419,POINT (1011822.6139573931 248079.21725929627),EAST TREMONT AVENUE,Webster Avenue,Park Avenue,WB\
